id,title,productImgSrc,detailImgSrc,amount,originalAmount,sale,categoryId,createdAt,updatedAt
145,"매거진F No.05 Rice",public/image/product/big/145.jpg,public/image/product/detail/145.jpg,13500,15000,10,3,"2021-08-17 00:52:26","2021-08-17 00:52:26"
146,"이게 다 넛때문이야. 선물세트",public/image/product/big/146.jpg,public/image/product/detail/146.jpg,13500,0,0,9,"2021-08-17 00:52:26","2021-08-17 00:52:26"
147,"연말 배송공지",public/image/product/big/147.jpg,public/image/product/detail/147.jpg,13500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
148,"장기하와 얼굴들. 노트 세트 (5개입)",public/image/product/big/148.jpg,public/image/product/detail/148.jpg,12000,0,0,9,"2021-08-17 00:52:26","2021-08-17 00:52:26"
149,"돈봉투. 새해 복 (화이트/블랙)",public/image/product/big/149.jpg,public/image/product/detail/149.jpg,12000,0,0,9,"2021-08-17 00:52:26","2021-08-17 00:52:26"
150,"장기하와 얼굴들. 마스킹테이프 세트",public/image/product/big/150.jpg,public/image/product/detail/150.jpg,5500,0,0,9,"2021-08-17 00:52:26","2021-08-17 00:52:26"
151,"난방비 걱정없는. 핫팩 세트",public/image/product/big/151.jpg,public/image/product/detail/151.jpg,5500,0,0,9,"2021-08-17 00:52:26","2021-08-17 00:52:26"
152,"볼펜세트. 어머 펜이에요~",public/image/product/big/152.jpg,public/image/product/detail/152.jpg,3500,0,0,8,"2021-08-17 00:52:26","2021-08-17 00:52:26"
153,"설날 배송공지 ",public/image/product/big/153.jpg,public/image/product/detail/153.jpg,3500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
154,"매거진F No.06 Chocolate",public/image/product/big/154.jpg,public/image/product/detail/154.jpg,13500,15000,10,3,"2021-08-17 00:52:26","2021-08-17 00:52:26"
155,"누가 나 좀 말려줘요. 수건세트",public/image/product/big/155.jpg,public/image/product/detail/155.jpg,25000,0,0,8,"2021-08-17 00:52:26","2021-08-17 00:52:26"
156,"배달이 팝업북. 버거나라 삼남매",public/image/product/big/156.jpg,public/image/product/detail/156.jpg,25000,0,0,9,"2021-08-17 00:52:26","2021-08-17 00:52:26"
157,"1만명 기념. 깜짝 이벤트",public/image/product/big/157.jpg,public/image/product/detail/157.jpg,10000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
158,"서디페. 마스킹 테이프",public/image/product/big/158.jpg,public/image/product/detail/158.jpg,6000,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
159,"매거진F No.07 Vinegar",public/image/product/big/159.jpg,public/image/product/detail/159.jpg,13500,15000,10,3,"2021-08-17 00:52:26","2021-08-17 00:52:26"
160,"오뚜기X배달의민족. 사골곰탕",public/image/product/big/160.jpg,public/image/product/detail/160.jpg,13500,0,0,9,"2021-08-17 00:52:26","2021-08-17 00:52:26"
161,"매거진F No.08 Honey",public/image/product/big/161.jpg,public/image/product/detail/161.jpg,13500,15000,10,3,"2021-08-17 00:52:26","2021-08-17 00:52:26"
162,"물놀이 세트",public/image/product/big/162.jpg,public/image/product/detail/162.jpg,15000,32500,53,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
